1,12,24
1,27,34
1,25,40
1,23,61
1,67,65
1,4,65
1,83,32
1,24,50
1,34,5
1,74,35
1,89,38
1,0,89
1,93,70
1,57,16
1,91,84
1,81,62
1,97,73
1,41,35
0,27,78
0,1,65
0,93,58
0,29,93
0,32,15
0,50,83
0,10,60
0,87,63
1,28,77
1,90,35
1,72,9
1,59,36
1,1,67
1,50,82
1,58,71
2,74,63
2,92,48
2,26,68
2,78,16
2,51,84
2,77,41
2,14,3
2,84,95
2,85,99
0,43,61
0,81,64
0,71,31
0,57,97
0,41,62
0,54,95
1,1,13
1,45,18
1,69,76
1,89,99
1,91,82
1,34,17
1,44,66
1,75,88
1,10,36
1,75,92
1,78,65
1,23,13
1,30,33
1,23,2
1,30,66
0,22,33
0,25,17
0,25,5
0,56,99
0,27,2
0,19,22
0,82,65
0,82,26
0,89,64
1,55,80
1,1,45
1,71,5
1,35,5
1,53,74
1,68,13
1,87,33
1,64,36
1,20,13
1,70,73
1,64,97
1,92,9
1,57,94
1,35,31
1,45,41
0,13,67
0,60,56
0,27,28
0,82,2
0,42,3
0,76,63
0,19,87
0,19,93
0,30,93
0,4,71
0,21,79
0,25,94
0,14,24
1,25,36
1,15,9
1,70,0
1,64,31
1,27,76
1,96,59
1,1,51
0,10,18
0,51,5
0,10,68
0,78,82
0,46,67
0,6,68
0,67,38
0,49,18
0,37,87
0,20,15
0,46,98
0,51,71
0,74,97
0,83,40
0,28,96
0,63,13
2,75,20
2,14,18
2,45,55
2,71,20
2,42,44
2,25,31
2,72,79
2,47,15
2,91,78
2,9,81
2,55,14
2,93,61
2,4,76
2,69,92
2,93,28
2,48,61
0,90,92
0,65,11
0,29,68
0,9,49
0,52,89
0,46,8
0,12,22
0,37,48
0,7,37
0,13,68
0,53,92
0,6,72
0,16,46
0,46,97
0,75,13
0,74,68
0,16,75
1,29,55
1,78,74
1,51,46
1,8,46
1,23,36
1,80,40
2,7,14
2,88,17
2,88,24
2,54,38
2,55,99
2,81,96
2,67,35
0,30,73
0,27,60
0,94,21
0,37,78
0,6,45
0,71,55
0,37,91
2,54,83
2,13,3
2,96,77
2,1,2
2,12,41
2,74,27
2,8,66
2,51,83
2,57,51
2,27,41
2,30,75
2,19,58
2,65,76
2,29,26
2,26,48
2,51,18
1,33,14
1,92,27
1,51,14
1,56,8
1,72,26
1,11,16
0,74,73
0,61,90
0,52,62
0,34,59
0,1,86
0,99,47
0,75,2
1,90,36
1,65,95
1,91,87
1,78,21
1,68,99
1,51,81
1,93,88
1,18,38
0,67,16
0,78,23
0,55,12
0,41,22
0,37,10
0,34,82
0,99,94
1,49,68
1,84,86
1,40,21
1,68,58
1,59,79
1,65,40
1,57,52
2,59,4
2,31,43
2,8,36
2,12,11
2,29,98
2,34,35
2,46,52
2,81,22
0,85,97
0,57,44
0,82,48
0,69,86
0,19,89
0,84,77
0,1,58
1,17,19
1,75,19
1,0,82
1,34,95
1,92,50
1,84,24
1,43,48
1,75,53
1,19,61
2,50,31
2,54,48
2,18,61
2,24,0
2,83,22
2,10,58
2,12,84
2,30,20
2,49,52
2,35,13
2,68,13
2,72,11
2,40,5
2,59,18
2,80,5
2,7,82
2,70,35
2,15,10
2,60,44
2,84,10
2,98,58
2,20,9
2,69,65
2,49,97
2,60,83
2,15,86
2,29,32
2,49,98
2,70,79
2,1,84
2,29,84
2,73,86
2,50,21
1,20,82
1,88,43
1,34,40
1,8,96
1,92,71
1,34,99
1,39,3
1,78,50
1,14,79
1,75,36
1,10,68
1,43,2
1,83,24
1,1,21
1,15,98
1,72,24
2,95,37
2,42,10
2,42,8
2,9,35
2,41,13
2,71,29
2,71,82
2,90,48
2,56,31
0,13,89
0,27,61
